PIN_NUM,CALC_AREA,REID,DEED_ACRES,BLDG_VAL,LAND_VAL,TOTAL_VALUE_ASSD,HEATEDAREA,SITE_ADDRESS,CITY_DECODE,TOWNSHIP_DECODE,YEAR_BUILT,TYPE_USE_DECODE,LAND_CLASS_DECODE,ZIPNUM
0676283733,1.03486797,178537,1.2,198359,93600,291959,1188,6317 S NC 55 HWY,FUQUAY-VARINA,Middle Creek,2009,SINGLFAM,Residential Less Than 10 Acres,27526
1713955362,0.25358824,178611,0.25,179414,80000,259414,1020,417 HABITAT CT,RALEIGH,Raleigh,1990,SINGLFAM,Residential Less Than 10 Acres,27610
1732661721,0.32527833,178655,0.33,184273,115000,299273,1556,5529 CONTINENTAL WAY,RALEIGH,St. Mary's,1991,SINGLFAM,Residential Less Than 10 Acres,27610
1732660748,0.31111715,178656,0.3,242751,115000,357751,1722,5525 CONTINENTAL WAY,RALEIGH,St. Mary's,1992,SINGLFAM,Residential Less Than 10 Acres,27610
1732569870,0.27251012,178657,0.26,239393,115000,354393,1813,5521 CONTINENTAL WAY,RALEIGH,St. Mary's,1992,SINGLFAM,Residential Less Than 10 Acres,27610
1732567621,0.26420126,178664,0.26,164203,115000,279203,1096,5508 CONTINENTAL WAY,RALEIGH,St. Mary's,1995,SINGLFAM,Residential Less Than 10 Acres,27610
1732567691,0.25970326,178665,0.26,167803,115000,282803,1205,5512 CONTINENTAL WAY,RALEIGH,St. Mary's,1994,SINGLFAM,Residential Less Than 10 Acres,27610
1732569285,0.24779311,178673,0.25,165940,115000,280940,1114,5617 SHERRIF PL W,RALEIGH,St. Mary's,1994,SINGLFAM,Residential Less Than 10 Acres,27610
1732567437,0.35878807,178678,0.38,167077,115000,282077,1193,5600 SHERRIF PL W,RALEIGH,St. Mary's,1994,SINGLFAM,Residential Less Than 10 Acres,27610
1707517155,0.02323503,178694,0.02,241527,45000,286527,1224,406 GADLAND CT,RALEIGH,House Creek,1986,SINGLFAM,Residential Less Than 10 Acres,27609
1707518045,0.02253551,178699,0.02,241527,45000,286527,1224,407 GADLAND CT,RALEIGH,House Creek,1986,SINGLFAM,Residential Less Than 10 Acres,27609
1736826091,0.5135952,178726,0.5,235380,120000,355380,1752,4504 RIVER EDGE DR,RALEIGH,Neuse,1993,SINGLFAM,Residential Less Than 10 Acres,27604
1736826135,0.44131653,178728,0.44,296416,120000,416416,1673,4512 RIVER EDGE DR,RALEIGH,Neuse,1993,SINGLFAM,Residential Less Than 10 Acres,27604
1736826214,0.30522163,178730,0.3,239132,120000,359132,1739,6204 RIVER BLUFF CT,RALEIGH,Neuse,1993,SINGLFAM,Residential Less Than 10 Acres,27604
1728210335,0.1414919,178786,0.14,305026,115000,420026,1804,3105 FELBRIGG DR,RALEIGH,Neuse,1994,SINGLFAM,Residential Less Than 10 Acres,27615
1800806896,0.94976498,178813,0.92,575219,210000,785219,4303,244 WORTHAM DR,,Barton's Creek,1990,SINGLFAM,Residential Less Than 10 Acres,27614
1800801002,0.89062565,178817,0.92,467398,168000,635398,3126,12301 DOLANS WAY,,Barton's Creek,1994,SINGLFAM,Residential Less Than 10 Acres,27614
1800805066,1.42400846,178818,1.42,507029,252000,759029,3592,12308 DOLANS WAY,,Barton's Creek,1990,SINGLFAM,Residential Less Than 10 Acres,27614
1728210530,0.14641533,178820,0.14,310278,115000,425278,1842,3112 BENTON CIR,RALEIGH,Neuse,1999,SINGLFAM,Residential Less Than 10 Acres,27615
1728119468,0.16614917,178821,0.17,364877,115000,479877,2165,3108 BENTON CIR,RALEIGH,Neuse,1994,SINGLFAM,Residential Less Than 10 Acres,27615
1728118505,0.15839452,178824,0.16,327671,115000,442671,2176,3101 BENTON CIR,RALEIGH,Neuse,1995,SINGLFAM,Residential Less Than 10 Acres,27615
0797850826,0.30800953,178855,0.31,517337,150000,667337,2976,7440 CAPSTONE DR,RALEIGH,House Creek,1992,SINGLFAM,Residential Less Than 10 Acres,27615
0783730791,0.03831098,178866,0.04,210471,75000,285471,1272,1032 OAK LAKE CT,RALEIGH,Raleigh,1989,SINGLFAM,Residential Less Than 10 Acres,27606
